,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
28,Bredasdorp,ZA,1573079581,36,51,-34.53,20.04,59.0,14.99
29,Vaini,IN,1573079581,94,92,15.34,74.49,66.76,0.29
30,Ushuaia,AR,1573079305,90,95,-54.81,-68.31,33.8,24.16
31,Tasiilaq,GL,1573079581,100,73,65.61,-37.64,24.8,10.29
32,Ciudad Bolivar,VE,1573079581,76,83,8.12,-63.55,79.02,10.09
33,Norman Wells,CA,1573079581,75,85,65.28,-126.83,10.4,12.75
34,Douentza,ML,1573079582,0,19,15.01,-2.95,81.46,2.89
35,Beyneu,KZ,1573079582,100,53,45.32,55.19,38.41,11.92
36,Arraial do Cabo,BR,1573079582,75,83,-22.97,-42.02,75.2,9.17
37,Katsuura,JP,1573079582,40,81,33.93,134.5,48.2,10.29
38,Hervey Bay,AU,1573079582,1,53,-25.3,152.85,80.01,10.29
39,Tuktoyaktuk,CA,1573079582,90,79,69.44,-133.03,19.4,5.82
40,Porto Novo,BR,1573079582,75,77,-23.68,-45.44,68.0,16.11
41,Khandyga,RU,1573079582,100,95,62.65,135.58,-10.34,1.12
42,Touros,BR,1573079582,20,74,-5.2,-35.46,78.8,6.93
43,Bubaque,GW,1573079582,32,79,11.28,-15.83,83.28,12.73
44,Ust-Nera,RU,1573079582,100,95,64.57,143.24,-2.24,8.66
45,Quatre Cocos,MU,1573079583,75,88,-20.21,57.76,73.99,5.82
46,Pangnirtung,CA,1573079583,90,79,66.15,-65.72,21.2,6.76
47,Provideniya,RU,1573079583,0,63,64.42,-173.23,30.2,4.47
48,Maniitsoq,GL,1573079583,63,66,65.42,-52.9,28.22,7.25
49,Ejura,GH,1573079583,92,75,7.38,-1.37,76.57,1.92
50,San Cristobal,HN,1573079583,78,89,14.68,-86.92,66.52,5.86
51,Port Blair,IN,1573079583,40,88,11.67,92.75,78.8,4.7
52,La Ronge,CA,1573079402,90,66,55.1,-105.3,15.8,3.36
53,Tocopilla,CL,1573079583,98,37,-22.09,-70.2,59.25,3.44
54,Boyolangu,ID,1573079583,52,76,-8.09,111.9,77.47,6.44
55,Pisco,PE,1573079583,0,30,-13.71,-76.2,71.6,20.8
56,Mataura,NZ,1573079583,52,62,-46.19,168.86,67.95,1.12
57,Hostotipaquillo,MX,1573079583,34,52,21.06,-104.05,79.0,3.0
58,Nampa,US,1573079583,1,35,43.57,-116.56,61.0,6.93
59,Yanam,IN,1573079584,100,90,16.73,82.22,72.23,2.84
60,Dunedin,NZ,1573079408,74,63,-45.87,170.5,66.99,3.0
61,Petatlan,MX,1573079584,40,63,17.52,-101.27,91.4,11.41
62,Cape Town,ZA,1573079584,75,55,-33.93,18.42,61.0,11.41
63,Omboue,GA,1573079584,66,94,-1.57,9.26,74.12,0.83
64,Richards Bay,ZA,1573079575,34,80,-28.77,32.06,74.88,9.66
65,Barentin,FR,1573079584,75,93,49.55,0.95,48.99,6.93
66,Port Alfred,ZA,1573079584,100,92,-33.59,26.89,63.0,4.0
67,Port Elizabeth,US,1573079584,1,52,39.31,-74.98,53.6,2.95
68,Niederzier,DE,1573079584,75,100,50.88,6.47,48.0,3.36
69,Vylok,UA,1573079584,97,93,48.11,22.84,48.2,1.12
70,East London,ZA,1573079584,95,82,-33.02,27.91,67.41,15.1
71,Te Anau,NZ,1573079584,54,74,-45.41,167.72,52.92,3.89
72,Avarua,CK,1573079552,11,78,-21.21,-159.78,77.0,5.82
73,North Bend,US,1573079585,1,81,43.41,-124.22,55.0,6.93
74,Bluff,AU,1573079546,0,34,-23.58,149.07,79.9,3.65
75,Busselton,AU,1573079585,38,61,-33.64,115.35,57.0,8.43
76,Meulaboh,ID,1573079585,100,80,4.14,96.13,79.32,7.56
77,Evensk,RU,1573079585,100,86,61.92,159.24,26.8,30.0
78,Madona,LV,1573079585,100,96,56.85,26.22,34.48,7.36
79,Bambous Virieux,MU,1573079585,75,88,-20.34,57.76,73.99,5.82
80,Tual,ID,1573079585,99,75,-5.67,132.75,80.71,3.65
81,Lengshuitan,CN,1573079585,36,73,26.41,111.6,58.5,3.24
82,Yazman,SY,1573079585,0,53,36.74,38.46,61.21,3.94
83,Saint George,GR,1573079413,20,82,39.45,22.34,57.2,4.7
84,Lahaina,US,1573079586,40,58,20.87,-156.68,84.2,17.22
85,Bethel,US,1573079586,90,89,60.79,-161.76,35.6,11.41
86,Hilo,US,1573079529,40,62,19.71,-155.08,84.2,5.82
87,Ciudad Guayana,VE,1573079586,79,80,8.32,-62.69,79.0,4.0
88,Longyearbyen,NO,1573079586,20,72,78.22,15.63,10.4,3.36
89,Pontes e Lacerda,BR,1573079586,98,80,-15.23,-59.33,77.23,0.51
90,Goderich,CA,1573079586,99,74,43.74,-81.71,37.99,11.88
91,Kununurra,AU,1573079586,53,73,-15.77,128.74,73.4,19.13
92,Enumclaw,US,1573079586,1,87,47.2,-121.99,55.0,2.26
93,Nelson Bay,AU,1573079586,0,29,-32.72,152.14,82.99,8.05
94,Ler,NO,1573079586,75,58,63.2,10.3,28.4,12.75
95,Muhos,FI,1573079586,75,92,64.81,26.0,5.0,5.82
96,Celestun,MX,1573079587,0,77,20.87,-90.4,81.86,21.47
97,Sarkand,KZ,1573079587,100,89,45.41,79.91,25.65,2.53
98,Balad,ID,1573079587,100,68,-6.76,108.42,72.27,6.26
99,Tilichiki,RU,1573079587,100,84,60.47,166.1,34.75,25.21
100,Punta Arenas,CL,1573079587,20,60,-53.16,-70.91,42.8,35.57
101,Albany,US,1573079520,20,38,42.65,-73.75,44.01,4.7
102,Saint-Philippe,CA,1573079587,90,51,45.36,-73.48,39.99,17.22
103,Broome,GB,1573079587,93,93,52.47,1.45,45.0,4.7
104,Fairbanks,US,1573079448,90,100,64.84,-147.72,27.0,2.66
105,Roald,NO,1573079587,98,55,62.58,6.12,32.0,10.29
106,Kavieng,PG,1573079587,100,75,-2.57,150.8,83.64,12.26
107,Nuuk,GL,1573079588,5,80,64.17,-51.74,30.2,13.87
108,Barrow,AR,1573079588,18,41,-38.31,-60.23,69.22,7.52
109,Labuhan,ID,1573079588,83,66,-2.54,115.51,80.83,0.69
110,Marsaxlokk,MT,1573079588,20,88,35.84,14.54,62.6,13.87
111,San Patricio,PY,1573079588,24,71,-26.98,-56.83,76.23,8.08
112,Kizema,RU,1573079588,100,94,61.11,44.83,11.55,4.88
113,Khatanga,RU,1573079588,24,81,71.98,102.47,-6.83,7.94
114,New Norfolk,AU,1573079588,75,50,-42.78,147.06,51.8,25.28
115,Beloha,MG,1573079588,2,93,-25.17,45.06,68.88,8.59
116,Shingu,JP,1573079588,0,56,33.72,135.99,64.22,4.85
117,Tateyama,JP,1573079588,75,71,36.66,137.31,57.99,3.36
118,San Jose,HN,1573079433,75,100,14.25,-87.96,80.6,6.93
119,Klaksvik,FO,1573079588,63,70,62.23,-6.59,35.6,2.24
120,Berlevag,NO,1573079588,75,86,70.86,29.09,26.6,5.82
121,Airai,TL,1573079589,17,40,-8.93,125.41,82.06,6.49
122,Kaitangata,NZ,1573079589,68,79,-46.28,169.85,60.01,4.0
123,San Policarpo,PH,1573079589,99,74,12.18,125.51,82.35,7.92
124,Brigham City,US,1573079589,1,22,41.51,-112.02,63.0,1.3
125,Tiksi,RU,1573079589,80,98,71.64,128.87,-11.64,3.29
126,Dikson,RU,1573079589,0,94,73.51,80.55,-11.28,12.37
127,Ponta do Sol,BR,1573079589,86,91,-20.63,-46.0,67.73,11.05
128,Qaanaaq,GL,1573079589,0,58,77.48,-69.36,0.28,7.96
129,Ribeira Grande,PT,1573079589,75,77,38.52,-28.7,64.4,6.93
130,Yenagoa,NG,1573079589,100,95,4.92,6.26,76.12,3.44
131,Port Hardy,CA,1573079589,90,87,50.7,-127.42,48.2,4.7
132,Chokurdakh,RU,1573079589,99,95,70.62,147.9,9.1,4.88
133,Darnah,LY,1573079590,48,57,32.77,22.64,75.78,12.3
134,Kruisfontein,ZA,1573079590,100,83,-34.0,24.73,58.06,15.41
135,Dvinskoy,RU,1573079590,100,94,62.16,45.12,15.08,3.18
136,Vila Velha,BR,1573079590,20,74,-3.71,-38.6,86.0,9.17
137,Port Macquarie,AU,1573079590,0,29,-31.43,152.91,78.8,4.7
138,Mehamn,NO,1573079590,75,100,71.03,27.85,28.4,9.17
139,Gobabis,NA,1573079590,51,39,-22.45,18.97,72.57,11.97
140,Wattegama,LK,1573079590,100,95,7.35,80.68,70.43,2.89
141,Borovskoy,KZ,1573079590,60,70,53.8,64.15,34.18,14.85
142,Novozybkov,RU,1573079590,40,81,52.54,31.93,46.4,13.42
143,Diapaga,BF,1573079590,32,29,12.07,1.79,81.97,3.62
144,Amapa,HN,1573079590,20,62,15.09,-87.97,86.0,13.87
145,Konstantinovo,BG,1573079590,75,93,42.0,25.79,55.4,4.7
146,Severomuysk,RU,1573079591,100,96,56.17,113.57,5.59,3.74
147,Abapo,BO,1573079591,68,55,-18.83,-63.47,79.56,3.11
148,Nanortalik,GL,1573079591,31,66,60.14,-45.24,32.63,12.93
149,Carnarvon,ZA,1573079591,15,46,-30.97,22.13,49.28,16.31
150,Kihei,US,1573079591,20,66,20.76,-156.45,84.2,13.87
151,Ferrol,ES,1573079591,75,81,43.48,-8.23,57.0,5.82
152,Saint Albans,US,1573079591,40,44,44.81,-73.08,42.01,6.13
153,North Platte,US,1573079591,90,64,41.12,-100.77,33.8,20.8
154,Vakhtan,RU,1573079591,100,99,57.97,46.69,43.18,3.18
155,Grenada,US,1573079591,75,43,33.77,-89.81,75.2,3.67
156,Komsomolskiy,RU,1573079592,78,96,67.55,63.78,4.59,6.33
157,Adzope,CI,1573079311,49,97,6.11,-3.86,74.93,2.84
158,Bharatpur,IN,1573079592,84,40,27.22,77.5,73.65,4.72
159,Sakaiminato,JP,1573079592,75,66,35.55,133.23,50.0,8.05
160,Puerto Ayora,EC,1573079592,75,65,-0.74,-90.35,77.0,14.99
161,Toyooka,JP,1573079592,75,62,35.55,134.82,53.6,10.29
162,Yichang,CN,1573079592,93,72,30.77,111.32,55.2,2.26
163,Lompoc,US,1573079343,20,72,34.64,-120.46,78.01,5.82
164,Hun,BE,1573079592,93,100,50.34,4.87,46.4,8.05
165,Garowe,SO,1573079592,100,79,8.41,48.48,75.15,4.38
166,Jasper,US,1573079592,1,36,33.83,-87.28,75.2,2.19
167,Georgetown,GY,1573079584,40,74,6.8,-58.16,84.2,6.93
168,Tahe,CN,1573079592,0,61,52.34,124.71,4.96,11.14
169,Koltubanovskiy,RU,1573079593,100,81,52.94,52.03,43.88,11.99
170,Timra,SE,1573079593,99,86,62.49,17.33,28.99,8.05
171,Araouane,ML,1573079593,22,21,18.9,-3.53,79.88,8.14
172,Yar-Sale,RU,1573079593,47,94,66.83,70.83,4.87,6.46
173,Hasaki,JP,1573079593,20,93,35.73,140.83,48.2,4.7
174,Aksarka,RU,1573079593,39,91,66.56,67.8,6.87,5.19
175,Rey Bouba,CM,1573079593,0,57,8.67,14.18,75.58,1.68
176,Praia,BR,1573079593,20,65,-20.25,-43.81,82.4,8.05
177,Taft,PH,1573079593,99,74,11.9,125.42,82.35,7.92
178,Kahului,US,1573079594,20,66,20.89,-156.47,84.2,13.87
179,Middelburg,NL,1573079594,100,81,51.5,3.61,48.2,9.17
180,Samarai,PG,1573079594,100,88,-10.62,150.67,78.96,4.14
181,Stonehaven,GB,1573079594,100,93,56.96,-2.22,39.2,3.36
182,Thompson,CA,1573079406,20,65,55.74,-97.86,6.8,9.17
183,Mahebourg,MU,1573079594,75,88,-20.41,57.7,73.99,5.82
184,Machico,PT,1573079594,75,72,32.7,-16.77,66.2,12.75
185,Shelburne,CA,1573079408,90,95,44.08,-80.2,36.0,11.16
186,Bongor,TD,1573079594,16,27,10.28,15.37,79.56,2.73
187,Presidencia Roque Saenz Pena,AR,1573079594,93,83,-26.79,-60.44,73.98,4.5
188,Lakota,CI,1573079594,99,98,5.85,-5.68,72.23,2.08
189,Mar del Plata,AR,1573079594,80,26,-46.43,-67.52,52.93,35.32
190,Conceicao da Barra,BR,1573079595,0,81,-18.59,-39.73,78.75,11.21
191,Souillac,FR,1573079545,98,100,45.6,-0.6,52.0,14.99
192,Hithadhoo,MV,1573079568,100,71,-0.6,73.08,81.79,7.25
193,Yaan,NG,1573079595,26,87,7.38,8.57,76.59,5.14
194,Sambava,MG,1573079595,97,98,-14.27,50.17,68.92,2.1
195,Caravelas,BR,1573079588,0,88,-17.73,-39.27,73.22,7.61
196,Santa Rosa,AR,1573079596,0,18,-36.62,-64.29,70.86,6.82
197,Atambua,ID,1573079596,16,55,-9.11,124.89,83.97,3.29
198,Jalingo,NG,1573079596,0,37,10.3,10.93,74.62,2.91
199,Batsfjord,NO,1573079596,40,100,70.63,29.72,30.2,2.24
200,Galesong,ID,1573079596,20,94,-5.32,119.37,73.4,2.24
201,Bilibino,RU,1573079596,100,82,68.06,166.44,18.46,2.91
202,Takoradi,GH,1573079596,43,86,4.89,-1.75,79.65,4.79
203,Ilulissat,GL,1573079596,86,58,69.22,-51.1,30.2,17.22
204,Necochea,AR,1573079596,0,46,-38.55,-58.74,79.0,10.0
205,Byron Bay,AU,1573079596,0,53,-28.65,153.62,80.01,3.36
206,Boffa,GN,1573079596,82,88,10.18,-14.04,79.65,5.37
207,Aksha,RU,1573079597,13,74,50.28,113.29,19.62,6.11
208,Nouadhibou,MR,1573079597,0,56,20.93,-17.03,69.8,19.46
209,San Rafael,AR,1573079597,0,17,-34.61,-68.33,77.72,13.11
210,Brigantine,US,1573079597,1,34,39.41,-74.36,54.0,4.7
211,Le Port,FR,1573079597,31,92,42.87,1.37,48.0,4.9
212,Hereford,GB,1573079410,100,96,52.06,-2.72,46.99,1.01
213,Kholm-Zhirkovskiy,RU,1573079597,98,91,55.52,33.47,38.93,7.63
214,Cherskiy,RU,1573079597,100,77,68.75,161.3,26.74,13.11
215,Calvia,ES,1573079597,0,81,39.57,2.51,54.0,4.7
216,Mendi,ET,1573079597,56,94,9.8,35.1,63.3,3.6
217,Talnakh,RU,1573079597,75,85,69.49,88.39,14.0,13.42
218,Mirnyy,RU,1573079598,100,96,56.57,36.46,33.85,8.23
219,Montoro,ES,1573079598,18,58,38.02,-4.38,57.0,5.82
220,Bathsheba,BB,1573079598,20,74,13.22,-59.52,82.4,25.28
221,Codrington,AU,1573079598,0,49,-28.95,153.24,75.2,5.82
222,Erenhot,CN,1573079598,0,44,43.65,111.97,30.52,4.72
223,Diamantino,BR,1573079598,100,96,-14.4,-56.44,70.3,1.52
224,Khandagayty,MN,1573079598,33,84,50.73,92.07,23.65,1.28
225,Lorengau,PG,1573079598,100,78,-2.02,147.27,80.69,12.28
226,La Riviera,CO,1573079598,40,62,7.89,-72.49,86.0,10.29
227,Walvis Bay,NA,1573079598,30,77,-22.95,14.51,60.8,6.93
228,Namatanai,PG,1573079598,96,78,-3.66,152.44,83.64,20.38
229,Bodden Town,KY,1573079598,40,83,19.28,-81.25,84.2,13.87
230,Raton,US,1573079599,1,18,36.9,-104.44,62.6,3.36
231,Bella Union,CO,1573079599,50,90,8.5,-73.35,70.39,5.08
232,Sayyan,YE,1573079583,1,37,15.17,44.32,52.65,10.36
233,Gat,SN,1573079599,3,73,14.69,-16.54,84.2,19.46
234,Warah,PK,1573079599,1,58,31.27,70.84,64.06,5.46
235,Cidreira,BR,1573079569,0,73,-30.17,-50.22,67.62,25.08
236,Matadi,CD,1573079599,84,90,-5.83,13.46,74.37,4.52
237,Obrenovac,RS,1573079599,100,87,44.66,20.2,57.2,10.29
238,Nikolskoye,RU,1573079599,100,73,59.7,30.79,28.99,13.42
239,Pop,UZ,1573079599,0,74,40.87,71.1,35.6,4.7
240,Lins,BR,1573079599,18,67,-21.67,-49.75,76.1,15.12
241,Owase,JP,1573079599,0,55,34.07,136.2,58.51,2.48
242,Sawakin,SD,1573079600,0,70,19.1,37.33,85.21,10.31
243,Grindavik,IS,1573079584,100,96,63.84,-22.43,35.6,6.93
244,Sinnamary,GF,1573079600,59,81,5.38,-52.96,81.75,18.1
245,Chapais,CA,1573079600,90,85,49.78,-74.86,17.6,8.05
246,Yerbogachen,RU,1573079387,97,92,61.28,108.01,9.36,9.78
247,Nahavand,IR,1573079600,0,39,34.19,48.37,46.4,4.7
248,Sabha,LY,1573079600,23,20,27.03,14.43,73.9,3.29
249,Nemuro,JP,1573079600,89,63,43.32,145.57,42.46,14.58
250,Merauke,ID,1573079600,95,70,-8.49,140.4,79.84,7.52
251,Chuy,UY,1573079600,41,70,-33.69,-53.46,61.48,8.39
252,Irara,TL,1573079600,81,37,-8.52,127.01,87.71,7.14
253,Lagoa,PT,1573079600,40,72,37.14,-8.45,62.6,6.93
254,Saint-Raymond,CA,1573079601,20,50,46.89,-71.84,34.0,3.36
255,Mount Isa,AU,1573079601,18,9,-20.73,139.49,84.2,4.7
256,Igarka,RU,1573079601,100,94,67.47,86.57,9.21,14.07
257,Awallan,PH,1573079601,100,99,17.92,121.91,72.48,1.68
258,Hualmay,PE,1573079601,0,82,-11.1,-77.61,61.57,3.8
259,Lebu,ET,1573079601,75,62,8.96,38.73,57.2,9.17
260,Oromocto,CA,1573079601,20,47,45.85,-66.47,37.4,9.17
261,Vilyuysk,RU,1573079601,5,95,63.75,121.63,-12.12,3.15
262,Malindi,KE,1573079601,16,93,-3.22,40.12,74.53,4.43
263,Ayagoz,KZ,1573079601,100,94,47.96,80.43,27.28,8.55
264,Shache,CN,1573079601,94,62,38.42,77.24,41.23,3.04
265,Longhua,CN,1573079601,1,86,29.21,106.21,56.39,1.88
266,Margate,AU,1573079602,75,50,-43.03,147.26,51.8,25.28
267,Kangaatsiaq,GL,1573079602,100,70,68.31,-53.46,30.02,9.15
268,Waingapu,ID,1573079602,0,72,-9.65,120.26,81.77,5.64
269,Mogwase,ZA,1573079602,0,29,-25.28,27.22,70.29,1.66
270,Sao Filipe,CV,1573079602,1,80,14.9,-24.5,75.24,20.92
271,Vardo,US,1573079314,1,37,39.62,-77.74,55.99,5.82
272,Siderno,IT,1573079602,75,59,38.28,16.3,64.99,4.7
273,Karratha,AU,1573079602,4,56,-20.74,116.85,80.71,6.73
274,Progreso,UY,1573079602,56,56,-34.68,-56.22,75.0,9.17
275,Jinka,ET,1573079602,96,88,5.79,36.57,64.33,2.42
276,Coylton,GB,1573079602,40,93,55.45,-4.52,41.0,4.7
277,Antsla,EE,1573079603,90,100,57.83,26.53,30.99,11.41
278,Sorong,ID,1573079603,100,79,-0.86,131.25,81.09,4.74
279,Ippy,CF,1573079603,12,94,6.26,21.2,69.78,3.36
280,Baykit,RU,1573079603,97,95,61.68,96.39,8.26,2.26
281,College,US,1573079576,90,100,64.86,-147.8,28.4,4.47
282,Rio Cuarto,AR,1573079391,26,38,-33.13,-64.35,77.0,9.17
283,Gornyy,RU,1573079603,99,91,51.76,48.54,48.33,14.45
284,Zapolyarnyy,RU,1573079603,75,92,69.43,30.82,17.6,3.36
285,Saint-Pierre,FR,1573079603,75,93,48.95,4.24,48.99,11.41
286,Egvekinot,RU,1573079603,34,89,66.32,-179.17,9.9,9.55
287,Severo-Kurilsk,RU,1573079603,33,77,50.68,156.12,36.88,12.97
288,Agadir,MA,1573079603,0,77,30.42,-9.58,59.0,3.36
289,Dingle,PH,1573079604,99,83,11.0,122.67,80.49,8.68
290,Annau,TM,1573079604,6,64,37.89,58.52,37.4,6.93
291,Tallahassee,US,1573079585,1,61,30.44,-84.28,78.8,3.36
292,Nioro,GM,1573079604,0,21,13.79,-15.05,85.19,5.26
293,Manono,CD,1573079604,16,91,-7.3,27.4,68.36,1.25
294,Jaciara,BR,1573079604,90,78,-15.95,-54.98,76.01,4.7
295,Chivay,PE,1573079604,96,63,-15.64,-71.6,43.48,10.16
296,Hamilton,CA,1573079587,90,93,43.26,-79.87,41.0,3.36
297,Dandong,CN,1573079604,0,31,40.12,124.37,36.7,16.84
298,Dwarka,IN,1573079604,40,56,28.58,77.04,80.01,5.41
299,Requena,ES,1573079604,2,47,39.49,-1.1,60.01,9.17
300,Porto Walter,BR,1573079604,99,79,-8.27,-72.74,77.18,2.62
301,Swift Current,CA,1573079471,1,61,50.29,-107.8,15.8,10.29
302,Geraldton,CA,1573079605,90,78,49.72,-86.95,17.6,10.29
303,Monroe,US,1573079441,90,52,41.91,-83.4,50.0,6.53
304,Broken Hill,AU,1573079605,0,51,-31.97,141.45,60.8,13.87
305,Mamakan,RU,1573079605,100,96,57.82,114.02,1.27,2.06
306,Tigil,RU,1573079605,90,89,57.8,158.67,35.22,6.35
307,Namibe,AO,1573079577,35,78,-15.19,12.15,73.49,8.77
308,Kaeo,NZ,1573079605,0,70,-35.1,173.78,79.0,8.99
309,Santa Ines,EC,1573079605,40,67,-0.82,-78.63,68.0,20.8
310,Agadez,NE,1573079605,0,14,16.97,7.99,82.87,9.66
311,Atikokan,CA,1573079352,100,61,48.76,-91.62,18.68,12.33
312,Vila Franca do Campo,PT,1573079606,75,72,37.72,-25.43,62.6,4.7
313,Oranjemund,ZA,1573079606,1,88,-28.55,16.43,56.48,5.75
314,Mubende,UG,1573079606,0,93,0.56,31.4,60.75,1.83
315,Bose,IT,1573079606,40,93,45.46,8.01,50.0,3.36
316,Kodiak,US,1573079606,1,54,39.95,-94.76,57.2,13.87
317,Ketchikan,US,1573079606,90,81,55.34,-131.65,48.2,10.29
318,Seoul,KR,1573079371,20,100,37.57,126.98,50.0,1.12
319,Luderitz,NA,1573079606,0,67,-26.65,15.16,62.6,20.8
320,Griffith,AU,1573079606,40,51,-34.29,146.06,60.8,18.34
321,Zhanaozen,KZ,1573079606,73,33,43.35,52.85,39.78,12.95
322,Kamaishi,JP,1573079607,98,63,39.28,141.86,53.22,10.47
323,Isangel,VU,1573079607,20,78,-19.55,169.27,80.6,11.41
324,Padang,ID,1573079607,37,81,-0.92,100.36,67.82,2.89
325,Turmalina,BR,1573079607,0,48,-17.29,-42.73,73.96,11.83
326,Khao Yoi,TH,1573079607,44,82,13.24,99.82,75.0,3.44
327,Mount Gambier,AU,1573079607,75,87,-37.83,140.78,53.6,24.16
328,Auki,NG,1573079607,0,26,12.18,6.51,77.52,5.1
329,Yatou,CM,1573079607,75,94,3.63,9.81,78.8,2.24
330,Tura,RU,1573079607,26,99,64.27,100.22,-11.62,1.66
331,Joshimath,IN,1573079607,58,31,30.57,79.57,40.6,4.18
332,Maumere,ID,1573079607,0,58,-8.63,122.22,83.66,3.38
333,Buluang,PH,1573079607,90,83,10.47,123.98,78.8,12.75
334,Pevek,RU,1573079608,100,81,69.7,170.27,24.21,6.46
335,Carutapera,BR,1573079608,30,79,-1.2,-46.02,81.91,14.14
336,Hofn,IS,1573079608,92,77,64.25,-15.21,37.26,15.93
337,Suntar,RU,1573079608,100,83,62.16,117.65,1.72,6.85
338,Iqaluit,CA,1573079608,20,78,63.75,-68.52,8.6,13.87
339,Saldanha,PT,1573079608,98,94,41.42,-6.55,50.07,10.69
340,Novouzensk,RU,1573079608,91,91,50.46,48.14,47.95,13.94
341,Sandane,NO,1573079608,75,92,61.77,6.22,32.0,3.36
342,Ambon,FR,1573079608,100,93,47.55,-2.56,55.4,5.82
343,Winsum,NL,1573079441,90,93,53.33,6.52,42.01,2.24
344,Grand Gaube,MU,1573079544,75,88,-20.01,57.66,73.99,5.82
345,Itarema,BR,1573079608,0,78,-2.92,-39.92,77.18,9.82
346,Puerto Escondido,MX,1573079609,20,66,15.86,-97.07,87.8,6.93
347,Lamar,US,1573079609,1,53,38.09,-102.62,48.2,28.86
348,Ballina,IE,1573079609,100,94,54.11,-9.15,45.0,1.99
349,Marsh Harbour,BS,1573079609,73,80,26.54,-77.06,79.14,16.87
350,Banda Aceh,ID,1573079568,100,83,5.56,95.32,73.8,3.94
351,Guanica,PR,1573079609,40,83,17.97,-66.91,82.99,16.11
352,Fort Nelson,CA,1573079609,75,67,58.81,-122.69,17.6,0.87
353,Caborca,MX,1573079405,94,37,30.58,-111.1,82.0,3.0
354,Leh,IN,1573079609,40,49,34.16,77.58,19.96,5.7
355,Kattivakkam,IN,1573079609,20,94,13.22,80.32,81.0,3.36
356,Leningradskiy,RU,1573079609,42,87,69.38,178.42,17.44,17.74
357,Mayo,CA,1573079609,90,71,63.59,-135.9,3.2,3.36
358,Riberalta,BO,1573079610,75,88,-11.0,-66.08,78.8,1.3
359,Pitimbu,BR,1573079610,75,83,-7.47,-34.81,78.8,8.05
360,Mildura,AU,1573079610,90,51,-34.18,142.16,62.01,12.75
361,Omsukchan,RU,1573079610,100,93,62.53,155.8,23.23,1.74
362,Shakiso,ET,1573079610,89,98,5.77,38.9,56.12,0.78
363,Coahuayana,MX,1573079610,36,76,18.62,-100.35,76.6,1.68
364,Alofi,NU,1573079610,75,65,-19.06,-169.92,80.6,10.29
365,Waitati,NZ,1573079610,74,63,-45.75,170.57,66.99,3.0
366,Pasni,PK,1573079610,0,9,25.26,63.48,68.2,21.14
367,Pangody,RU,1573079610,100,93,65.85,74.49,5.99,2.51
368,Upernavik,GL,1573079610,100,92,72.79,-56.15,23.86,5.79
369,Guerrero Negro,MX,1573079610,100,64,27.97,-114.04,68.43,11.32
370,Tarakan,ID,1573079428,100,90,3.3,117.63,78.44,7.09
371,Reda,PL,1573079611,75,93,54.6,18.35,44.01,5.82
372,Kushima,JP,1573079611,75,76,31.5,131.29,53.6,6.93
373,Fortuna,US,1573079611,90,93,40.6,-124.16,57.99,3.36
374,Mizoch,UA,1573079611,100,10,50.4,26.14,42.01,1.99
375,Banjar,ID,1573079611,98,70,-7.37,108.54,76.3,1.48
376,Esperance,AU,1573079611,90,76,-33.86,121.89,55.4,6.93
